User ID,From Station,To Station,Vehicle ID,Unlock Time,Lock Time,Total Time,Battery Used,Distance
51,17,32,125,6.1012820278690185,0.0,8.646866440140592,63.63961030678929,12.727922061357855
33,16,12,10,24.556058934713256,0.0,26.956058934713255,60.00000000000001,12.0
43,16,31,143,14.556058934713256,0.0,17.10164334698483,63.63961030678929,12.727922061357855
60,7,15,47,0,0.0,1.3416407864998732,33.54101966249685,6.708203932499369
44,14,15,94,17.1,0.0,17.700000000000003,15.0,3.0
59,3,9,21,3.640709100495336,0.0,4.240709100495337,15.0,3.0
63,28,35,173,0,0.0,0.8485281374238554,21.213203435596427,4.242640687119285
42,3,11,23,20.640709100495336,0.0,21.98234988699521,33.54101966249685,6.708203932499369
34,3,0,155,28.640709100495336,0.0,30.44070910049534,44.99999999999999,9.0
56,3,26,22,6.640709100495336,0.0,9.114572475865927,61.846584384264915,12.36931687685298
46,1,23,196,21.59911660087991,0.0,24.59911660087991,75.0,15.0
65,1,30,9,2.59911660087991,0.0,5.6585283090355745,76.48529270389179,15.297058540778355
71,10,17,11,0,0.0,0.8485281374238554,21.213203435596427,4.242640687119285
70,1,31,8,0,0.0,3.0,75.0,15.0
55,14,22,153,18.32035455024767,0.0,19.66199533674755,33.54101966249685,6.708203932499369
72,15,30,94,0.20000000000000284,0.0,2.745584412271569,63.63961030678929,12.727922061357855
35,34,9,119,37.8708615625678,0.0,40.344724937938395,61.846584384264915,12.36931687685298
75,16,12,100,0,0.0,2.4000000000000057,60.00000000000001,12.0
76,2,18,15,0,0.0,2.1633307652783884,54.083269131959845,10.816653826391969
41,34,13,29,35.18519737214547,0.0,37.73078178441703,63.63961030678929,12.727922061357855
77,2,23,14,0,0.0,2.545584412271566,63.63961030678929,12.727922061357855
68,20,14,34,11.093311627024065,0.0,11.693311627024059,15.0,3.0
79,34,2,209,0,0.0,3.231098884280698,80.77747210701756,16.15549442140351
80,19,29,148,0,0.0,2.4738633753705983,61.846584384264915,12.36931687685298
82,1,7,6,0,0.0,0.5999999999999943,15.0,3.0
81,1,25,7,0,0.0,2.4000000000000057,60.00000000000001,12.0
86,19,29,5,0,0.0,2.4738633753705983,61.846584384264915,12.36931687685298
88,11,1,23,0,0.0,2.4738633753705983,61.846584384264915,12.36931687685298
84,14,31,34,6.193311627024059,0.0,8.090678223125082,47.4341649025257,9.486832980505138
94,24,0,147,0,0.0,2.4000000000000057,60.00000000000001,12.0
83,15,32,47,12.320354550247657,0.0,14.21772114634868,47.4341649025257,9.486832980505138
96,28,17,172,0,0.0,1.3416407864998803,33.54101966249685,6.708203932499369
97,16,22,99,0,0.0,0.5999999999999943,15.0,3.0
61,9,6,59,0,35.786826994603715,37.58682699460371,44.99999999999999,9.0
92,14,6,88,0,5.245186208103831,6.586826994603712,33.54101966249685,6.708203932499369
95,5,31,33,0,0.0,3.8418745424597063,96.04686356149273,19.209372712298546
57,0,27,155,38.94070910049534,0.0,41.94070910049534,75.0,15.0
24,6,1,59,74.58682699460371,0.0,75.43535513202757,21.213203435596434,4.242640687119285
85,6,13,71,13.586826994603712,0.0,14.435355132027567,21.213203435596427,4.242640687119285
53,6,9,88,45.58682699460371,0.0,47.38682699460371,45.0,9.0
98,3,26,20,0,0.0,2.4738633753705983,61.846584384264915,12.36931687685298
99,20,29,124,0,0.0,1.8973665961010227,47.4341649025257,9.486832980505138
73,6,11,77,25.58682699460371,0.0,28.58682699460371,75.0,15.0
67,6,5,28,31.58682699460371,0.0,34.646238702759376,76.48529270389179,15.297058540778355
20,6,29,95,78.58682699460371,0.0,82.08539813151089,87.46427842267951,17.4928556845359
101,21,34,152,0,0.0,1.3416407864998803,33.54101966249685,6.708203932499369
102,28,35,171,0,0.0,0.8485281374238554,21.213203435596427,4.242640687119285
